시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP3-7.0,2073,50.8,59.1,154.2,8.2,308.7,97.9,78.1,65.8,92.7,39.8,31.4
SSP3-7.0,2074,44.1,51.2,159.6,8.4,271.3,98.9,77.5,53.9,87.3,37.9,30.9
SSP3-7.0,2075,45,54.7,150.1,8.3,304.2,104.5,90,51.2,92.2,38.4,30.3
SSP3-7.0,2076,44.7,52.2,156.8,8.3,314.6,93.7,79.1,39.1,88.6,38.3,30
SSP3-7.0,2077,64.8,70.7,171.2,8.7,298.5,113.7,98.5,68.6,98.1,39,31.3
SSP3-7.0,2078,50.8,61.7,160.8,8.3,326.3,106.6,90.1,63.4,98.4,38.5,31.5
SSP3-7.0,2079,68.8,64.7,159.7,8.7,300.8,115.1,102.6,79.8,98.3,40.3,31.9
SSP3-7.0,2080,41.3,45.2,150.8,8.5,280.5,95.9,79.5,45.2,83.3,38.7,30.9
SSP3-7.0,2081,64.8,74.6,174.9,8.6,312.8,115.9,98,69.4,102.2,41.2,32.2
SSP3-7.0,2082,55.8,50.4,160.9,8.8,280.7,116.9,101.9,56.4,98.6,40.3,31.9
SSP3-7.0,2083,60.4,61.5,162.4,8.7,314.2,113.8,96.7,62.7,96,40.1,31.5
SSP3-7.0,2084,70,72,167.1,8.7,309.1,117.6,104,69.4,108.4,41.5,32.7
SSP3-7.0,2085,57,67.1,168.9,8.3,315.6,116.4,98.1,72.4,105.5,38.3,30.4
SSP3-7.0,2086,70.2,71.7,155.7,8.6,308.4,108.2,98.1,83.4,97.1,41.2,32.3
SSP3-7.0,2087,67.6,76.2,175.1,8.1,311.6,117.5,104,73.7,112,41,32.3
SSP3-7.0,2088,78,77.4,163.4,8.4,309.2,125.2,114.9,86.1,107.3,39.9,32.2
SSP3-7.0,2089,67.3,69.2,173,8.4,320.6,123.8,108.1,71.4,107.9,41.8,32.5
SSP3-7.0,2090,93,87,170.5,8.7,327.2,130.2,118.3,89.7,115.9,42.5,33.5
SSP3-7.0,2091,60.8,74,155.6,8.2,328.7,109.3,96.3,56.1,104.7,40.5,32.2
SSP3-7.0,2092,84,81.7,168.2,8.4,339.9,116.7,107.3,88,109.9,41.5,33
SSP3-7.0,2093,63,69,163.6,8.4,329.3,109.6,94.2,69.3,99.1,41.4,32.4
